kit_id,collection_date,site_name,state,region,samples_collected,air_temperature_c,barometric_pressure_inhg,weather_conditions,kit_notes
K022,10/11/2021,Winous Point,OH,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",28,30,Partly Cloudy,NA
K023,10/4/2021,Jug Bay- Chris Swarth Boardwalk,MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Upland",21.7,29.9434,"Partly cloudy, humid",Samples collected along CS Boardwalk trail at Jug Bay wetland sanctuary. Outgoing tide conditions.
K024,10/12/2021,Monie Bay - CBNERR-MD,MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",20.56,NA,Partly/Mostly Cloudy,"Cloudy when took sediment/water/wetland, cleared later during soil sampling. Took water/sediment samples off of Drawbridge Pier, next to Monie Bay SWMP station."
K025,10/4/2021,Muddy Creek,MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",25.9,NA,"Partly cloudy, brief sprinkles of rain; sunny at times; breezy",NA
K026,10/5/2021,Lang Farm Rd.,VA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",26.7,762,Sunny and warm,NA
K027,11/9/2021,Greenhead Farm,MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",65,30.11,Clear skies,"Very high tide, high marsh was flooded"
K029,10/18/2021,Gum Tree Corner,NJ,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",18,29.662868,Cloudy,"site also has 3 groundwater wells @wetland, transiton and upland positions"
K030,10/12/2021,St. Jones Reserve,DE,Chesapeake Bay,"Water, Sediment, Soil - Upland, Soil - Wetland",19.1,30.09105,"Rh 92%, wind speed 2.5 m/s",total PAR 254 mmol/m2/15min
K033,10/11/2021,Nara Nature Park,MI,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Upland",13.3333,29.67,"Partly Cloudy, very slight breeze",NA
K034,10/18/2021,King's Creek Marsh (Nature Conservancy Site),MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",18,30.02,"scattered clouds, windy",NA
K035,10/6/2021,Horn Point Laboratory,MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",22,30.35,"overcast, calm wind",sampled about 1 hour before low tide
K036,10/18/2021,"Calfpasture Cove, Eastern Neck National Wildlife Refuge (ENNWR)",MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",18,30,"mix sun and clouds, windy",NA
K037,10/12/2021,Cumberland Marsh,VA,Chesapeake Bay,"Water, Sediment, Soil - Wetland",20.5556,30.04,"mostly cloudy, occasional light mist/drizzle","arrived ~low tide, water was ~50.75cm higher than expected"
K038,10/12/2021,Harris Creek,VA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Upland",21.11,30.02,partly-mostly cloudy,NA
K039,10/10/2021,Pentwater River,MI,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",22.2,29.7,"Cloudy, windy",NA
K040,11/8/2021,Brownsville Nature Preserve,VA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",15,30.15,Sunny,Tides have been very high for the last several weeks
K041,10/19/2021,Brownsville Nature Preserve,VA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",20,NA,"clear sky, light breeze ",NA
K042,10/20/2021,Heinz Wildlife Refuge- Wildrice,PA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",15,30.03,Sunny,NA
K043,11/8/2021,Bowers Beach,DE,Chesapeake Bay,"Water, Sediment",15.5556,30.11,"Sunny, windy",NA
K044,10/18/2021,"Canoe Shed, Smithsonian Environmental Research Center",MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",17,29.9,"Sunny, Breezy",Low tide ~1030am
K045,11/8/2021,Rancocas,NJ,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",15,30.15,Sunny,"Full sun, slight breeze. Had difficulty getting the Eye on Water photo because of how sunny it was.  We did our best"
K046,10/12/2021,St. Jones Reserve,DE,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Upland",19.9,30.09105,"overcast, RH 92%, wind speed 2.5 m/s",total PAR 410 mmol/m2/15 min
K047,10/10/2021,White River,MI,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",22.2,29.7,"light rain, windy",NA
K048,10/20/2021,"Spadderclock Reef, John Heinz Natural Wildlife Refuge at Tinacum",PA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",15.5556,30.03,mostly sunny,NA
K049,10/19/2021,Saugatuch Harbor Natural Area,MI,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",19.4444,30.08,clear and sunny,NA
K050,10/12/2021,Kimages Creek,VA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",21.11,30.02,"mostly cloudy, pleasant, light breeze",NA
K051,10/15/2021,Bar Neck Farm,MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",N/A,N/A,N/A,NA
K052,10/15/2021,Almodington Farm,MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil-Upland",N/A,N/A,N/A,NA
K053,10/11/2021,Patuxent Wetland Park,MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",19.44,NA,Overcast,"near high tide, collecting soil samples first"
K054,10/20/2021,Delaware Forest,DE,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",22.2222,30.06,clear/sunny,unable to take water photos- couldn't bring phone in waders
K055,10/18/2021,Mantua Creek,NJ,Chesapeake Bay,Upland soil,15,29.866142,Sunny,NA
K056,10/19/2021,"Jake's Landing, Partnership for the Delaware Estuary",NJ,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",17,30.09,Clear,NA
K057,11/21/2021,Silver Lake,DE,Chesapeake Bay,Water,17,30.20,NA,NA
K058,10/19/2021,"Owl's Nest, Partnership for the Delaware Estuary",NJ,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",9,30.09105,clear,NA
K059,10/21/2021,Blackwater National Wildlife Refuge,MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",20.5556,N/A,sunny and clear,NA
K060,11/6/2021,Woodland Beach,DE,Chesapeake Bay,"Water, Sediment, Soil - Wetland",11,N/A,Sunny,NA
K061,10/20/2021,Delaware Ag,DE,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",17.2222,30.06,Clear/sunny,NA
K062,10/18/2021,"GCReW, Smithsonian Environmental Research Center",MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",12,30,"Clear, sunny, breezy",Low tide ~10:30am; will also be sending soil moisture calculations and sonde data at a later date
