kit_id,water_latitude,water_longitude,water_elevation_m,water_collection_time_utc,water_macrophytes_algae,water_systemtype,water_volume_ml,water_notes,sediment_latitude,sediment_longitude,sediment_elevation_m,sediment_collection_time_utc,sediment_soil_type,sediment_rotten_egg_smell,sediment_color,sediment_notes,wetland_latitude,wetland_longitude,wetland_elevation_m,wetland_collection_time_utc,wetland_soil_type,wetland_soil_horizon,wetland_notes,transition_latitude,transition_longitude,transition_elevation_m,transition_collection_time_utc,transition_soil_type,transition_soil_horizon,transition_notes,upland_latitude,upland_longitude,upland_elevation_m,upland_collection_time_utc,upland_soil_type,upland_soil_horizon,upland_ecosystem_code_IGBP,upland_notes,elevation_flag
K019,46.6533,-92.2266,182.93,18:00:00,None,Lacestuary,500,"Frequent bubble evolution from sediments.  Methanogenesis?  No H2S smell, though, and sediments remain brown at least 4 cm down.",46.6532,-92.2266,182.93,18:15:00,Water (W),No,"Reddish, Light Chocolate",NA,46.6534,-92.2267,182.93,18:30:00,Water (W),Mineral,NA,46.6536,-92.2269,183.21,18:30:00,"Udifluvents, loamy, 0 to 2 percent slopes, occasionally flooded (1026A)",Organic,NA,46.6536,-92.2268,184.21,18:30:00,"Udifluvents, loamy, 0 to 2 percent slopes, occasionally flooded (1026A)",Organic,4,NA,NA
K020,46.8143,-92.0515,184.83,19:30:00,None,Lake,500,"0.5+ m waves, in lee of pier. No water color. Water clear, but too choppy",NA,NA,NA,4:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5:00:00,NA,NA,NA,46.8145,-92.0515,185.99,19:30:00,"Urban land-Amnicon-Rock outcrop complex, 0 to 18 percent slopes (E25D)",Organic,5,Maple and fir trees,NA
K021,41.6056,-83.1526,174.15,14:50:00,"Macrophytes, Algae",Lacestuary,120,NA,41.6056,-83.1526,174.15,15:00:00,Water (W),No,Dark Chocolate,NA,41.6054,-83.1533,174.15,14:30:00,Water (W),Organic,NA,41.6053,-83.1536,174.15,14:45:00,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",Organic,NA,41.6053,-83.1537,174.15,14:40:00,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",Organic,11,"The soil sample was taken on the east side of the dike. On the soil ID app this area was considered ""water"". But the west side of the dike was considered ""Toldeo/Fulton"" soil series and that is what we recorded. The dike was considered upland because there were mature trees established.",NA
K022,41.4629,-82.9971,174.04,16:30:00,"Macrophytes, Algae",Lacestuary,200,NA,41.4629,-82.9971,174.04,16:40:00,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",Yes,Dark Chocolate,NA,41.4626,-82.9973,174.31,4:45:00,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",Organic,NA,41.4623,-82.9974,174.37,6:35:00,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",Organic,NA,41.4621,-82.9974,174.47,18:30:00,"Toledo silty clay, 0 to 1 percent slopes, flooded (Tp)",Organic,11,NA,NA
K023,38.8014,-76.7033,0.61,13:00:00,None,Tidal Stream,220,NA,38.8158,-76.7033,0.6,13:19:00,"Nanticoke and Mannington soils, tidally flooded (NM)",No,Grey,"Soil very clayey, color not quite grey, not quite brown/red either, dull grey/brown (didnt bring a color book)",38.8014,-76.7031,0.58,13:34:00,"Nanticoke and Mannington soils, 0 to 1 percent slopes, tidally flooded (NMA)",Organic,"Very organic, lots of roots and plant material; iPhone used for elevation",NA,NA,NA,4:00:00,NA,NA,NA,38.7511,-76.7019,10.37,13:49:00,NA,Mineral,4,"Seems sandy, lots of ants! Soil is very organic, many roots; iPhone used for elevation",NA
K024,38.2087,-75.8044,0.17,13:44:00,None,Estuary,840,Salinity 12.6ppt,38.2087,-75.8044,0.17,13:50:00,"Transquaking and Mispillion soils, very frequently flooded, tidal (TP)",Yes,Grey,"lots of root material, sandy",38.2088,-75.8044,0.47,14:04:00,"Transquaking and Mispillion soils, very frequently flooded, tidal (TP)",Organic,"High marsh spartina patens, surrounded by J. roemerianus, P. australis and S. alterniflora. Solid root mat in the first 10-20cm of soil. Very organic, little mineral material. Marsh was flooded to a depth of 1-2 cm.",38.2105,-75.8056,0.63,14:23:00,"Manokin silt loam, 0 to 2 percent slopes (MdA)",Organic,"Ghost forest, on the upland/upslope edge of the wetland vegetation creep. Dead pine, S. patens encroaching, other wetland plants coexisting with young pine seedlings. Soil organic, rooty, pine needles everywhere.",38.2108,-75.8054,0.91,14:38:00,"Manokin silt loam, 0 to 2 percent slopes (MdA)",Organic,1,"Very thick organic layer in pine forest, some sand mixed in. Forest is primarily loblolly pine, with some oak and holly",NA
K025,38.8873,-76.5621,0.31,19:30:00,None,Tidal Stream,205,"Conductivity was 5581 microsiemens/cm. Conductivity, pH and dissolved O2 were measured with a YSI pro.",38.8873,-76.5621,0.31,19:45:00,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded (WBA)",No,"Black, Grey, Reddish, Light Chocolate","Collected at 5-10 cm subsurface of water. Taped the sample bag shut because the fine particles clogged the seal seam. Elevation was not taken, but I can get this at a later date, along with more precise latitude and longitude coordinates.",38.8873,-76.5621,0.31,20:05:00,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded (WBA)",Organic,"Soil type is known most precisely at this sampling location because we have taken 1 meter cores from the area, and performed LOI analysis in 5 cm chunks. The top 10 cm have averaged 80% clay and 20% organics, with clay increasing down the core to 100%, with very little organics after 10 cm of depth. Soil moisture not taken, but very moist (not waterlogged because it was low tide)",38.8873,-76.5621,0.31,20:15:00,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded (WBA)",Organic,NA,38.8872,-76.5623,0.76,20:25:00,"Widewater and Issue soils, 0 to 2 percent slopes, frequently flooded (WBA)",Mineral,4,"The soil temperature is likely inaccurate because I was unable to get my soil thermometer all the way into the soil. It was too compacted. Soil moisture not taken, but the soil was very dry and seemed well drained.",NA
K026,37.7106,-75.6117,2.96,17:30:00,None,Tidal Stream,65,"I initially confused the amber 40 and 125ml vials, and filled the 40mL with tidal creek water. Once I realized the error, I rinsed the 40mL with creek water, shook dry and filled using the syringe and filter as directed. There may be slight contamination of the 40mL. (15mL Falcon tube was not contaminated.)  Water color description: Cannot recall and cannot open observation; will try again later.",37.7106,-75.6117,2.96,17:30:00,"Udorthent and Udipsamment soils, 0 to 30 percent slopes (UpD)",No,Light Chocolate,Same location as water sample,37.712,-75.6102,1.2,17:15:00,"Chincoteague silt loam, 0 to 1 percent slopes, very frequently flooded (ChA)",NA,Spartina alterniflora,37.7128,-75.6086,1.29,17:30:00,"Chincoteague silt loam, 0 to 1 percent slopes, very frequently flooded (ChA)",NA,NA,37.7129,-75.6085,1.37,17:45:00,"Munden sandy loam, 0 to 2 percent slopes (MuA)",NA,12,"Corn crop, recently harvested",inconsistent
K027,37.9914,-75.8238,0.44,22:00:00,None,Tidal Stream,610,NA,37.9914,-75.8238,0.44,22:00:00,"Honga peat, very frequently flooded, tidal (Ho)",No,Dark Chocolate,"At the very edge of the channel, water was very high",37.9927,-75.8221,0.47,21:00:00,"Honga peat, very frequently flooded, tidal (Ho)",Organic,"Thick roots, difficult to extract (used gloved hands); Elevation estimated",37.9923,-75.8218,0.65,21:15:00,"Othello-Fallsington complex, 0 to 2 percent slopes (OvA)",Organic,Bare soil and some marsh grasses creeping in; elevation estimated,37.9917,-75.8216,0.69,21:30:00,"Othello-Fallsington complex, 0 to 2 percent slopes (OvA)",Organic,12,Not farmed this year,NA
K029,39.4188,-75.3786,0.37,19:35:00,None,Tidal Stream,85,forel-ule value = 18,39.4188,-75.3786,0.37,19:50:00,"Transquaking peat, 0 to 1 percent slopes, very frequently flooded, tidal (TrkAv)",Yes,"Black, Dark Chocolate",primarily dark brown but later black below,39.4188,-75.3786,0.37,19:58:00,"Transquaking peat, 0 to 1 percent slopes, very frequently flooded, tidal (TrkAv)",Organic,phragmites australis; for soils: I just used the NRCS wedsize survey as I had no cell reception for phone app; NAVD88 used for elevation,39.4187,-75.3786,0.86,20:15:00,"Berryland and Mullica soils, 0 to 2 percent slopes, occassionally flooded (BEXAS)",Organic,Phragmites australis (not recorded on the phyiscal metadata sheet); NAVD88 used for elevation,39.4185,-75.3788,1.38,20:25:00,"Berryland and Mullica soils, 0 to 2 percent slopes, occassionally flooded (BEXAS)",Organic,4,"organic soil horizon, more mineral than transiton/wetland; NAVD88 used for elevation",NA
K030,39.0884,-75.4374,0.81,13:55:00,None,Tidal Stream,247,environmental data from DELSLWQ; water had less turbidity than usual. We were on a coastal flood advisory today. Sampling was at low tide [Sal 14.1 PSU; Trurb 28 FN)/Ntu; temp 20C]; Dissolved Oxygen saturation 37.5%,39.0884,75.4374,NA,14:30:00,"Transquaking and Mispillion soils, very frequently flooded, tidal (TP)",Yes,"Black, Grey",sediments were collected near creek bank,39.0881,-75.4375,0.99,15:45:00,"Transquaking and Mispillion soils, very frequently flooded, tidal (TP)",Organic,Soil moisture not taken but soil was saturated,NA,NA,NA,NA,NA,NA,NA,39.0885,-75.438,1.13,15:57:00,"Nassawango silt loam, 2 to 5 percent slopes (NsB)",Organic,4,NA,NA
K033,47.1041,-88.5153,187.42,17:30:00,Macrophytes,"Tidal River, Lacestuary",605,NA,47.1041,-88.5153,187.42,17:50:00,"Histosols and Aquents, 0 to 1 percent slopes, ponded (27)",No,Light Chocolate,little sandy mixture,47.1043,-88.516,187.52,18:21:00,"Histosols and Aquents, 0 to 1 percent slopes, ponded (27)",Organic,"More of a mixture of organic and mineral soil horizon, very dense root mat",NA,NA,NA,4:00:00,NA,NA,NA,47.1041,-88.517,187.94,18:31:00,"Udipsamments and Udorthents, nearly level (83)",Mineral,4,NA,NA
K034,38.7746,-75.9752,-0.12,18:45:00,None,Estuary,300,"water temp 20.4C. Water color description: too clear; could see bottom; visually, light brown",38.7746,-75.9752,-0.12,18:55:00,Water (W),No,Grey,"sediment emitting bubbles, sediment colour was dark gray",38.7745,-75.9753,0.62,NA,"Nanticoke and Mannington soils, very frequently flooded, tidal (NM)",Organic,"dominant vegetation: Spartina cynosuroides; also sparse invasive phragmites; some Leersia oryzoides (rice cut grass);  elsewhere in the marsh (not at sampling site), we also observed likely pockets of native phragmites",38.7744,-75.9753,0.53,18:20:00,"Klej-Galloway complex, 0 to 5 percent slopes (KgB)",Organic,"invasive phragmites, appears to be monoculture",38.7743,-75.9754,1.31,18:15:00,"Klej-Galloway complex, 0 to 5 percent slopes (KgB)",Organic,5,"dominant species: invasive phragmites, red maple, grapevine; bordering crops (currently winter wheat cover)",inconsistent
K035,38.5922,-76.1307,0.38,10:30:00,None,Estuary,200,"Time entered on metadata hard copy listed LOCAL time (GMT-4); on this form, i've converted time to UTC; conductivity: 17.76 mS/cm
By ""Algae"" above, I took that to mean benthic macroalgae, which was not evident",38.5922,-76.1307,0.38,10:40:00,"Honga peat, very frequently flooded, tidal (Ho)",Yes,Dark Chocolate,NA,38.5922,-76.1307,0.38,10:15:00,"Honga peat, very frequently flooded, tidal (Ho)",Organic,S. alterniflora dominant; evidence of ponding and erosion. Soil moisture not taken but soil was visibly saturated; Elevation estimated,38.5922,-76.1302,0.33,10:00:00,"Honga peat, very frequently flooded, tidal (Ho)",Organic,"Very narrow transition zone between upland and wetland (i.e., very steep gradient); Sampled in Phragmites, arguably characterized as upper limits of wetland; Elevation estimated",38.5922,-76.13,1.2,9:50:00,"Mattapex silt loam, 2 to 5 percent slopes, Mid-Atlantic Coastal Plain (MtcB)",Mineral,5,"Soil horizon was probably more accurately ""mix of organic and mineral""; I've added soil series here, but was missing on hard copy I sent in. Soil moisture not taken, but soil was very dry; Elevation was estimated; Dominant species were Black Walnut, Eastern Redbud, juniper, invasive privet",inconsistent
K036,39.0412,-76.2218,0.06,0:00:00,None,Estuary,300,conductivity 10.58 mS/cm; temperature 17.0 C Water color description: too clear; brownish,39.0412,-76.2218,0.06,0:10:00,Westbrook peat (We),Yes,Dark Chocolate,NA,39.0385,-76.2239,0.39,22:45:00,Westbrook peat (We),Organic,"dominant: Schoenoplectus, also some Iva
",39.0381,-76.2242,0.39,23:00:00,"Othello silt loams, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain (Oh)",Organic,invasive phragmites dominant,39.0379,-76.2244,0.65,23:10:00,"Othello silt loams, 0 to 2 percent slopes, Mid-Atlantic Coastal Plain (Oh)",Organic,5,"dominant vegetation: black gum, sweet gum, ilex opaca, willow oak, understory royal ferns",NA
K037,37.5569,-76.9731,0.23,18:00:00,None,NA,305,NA,37.5569,-76.9731,0.23,18:00:00,"Mattan muck, 0 to 1 percent slopes, frequently flooded (22A)",No,Dark Chocolate,"roots and organic matter visible in sediment, ~1m water over sediment when sampling",37.5569,-76.9731,0.23,18:00:00,"Mattan muck, 0 to 1 percent slopes, frequently flooded (22A)",Organic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5:00:00,NA,NA,NA,NA,NA
K038,37.3264,-77.2078,0.41,21:00:00,None,Tidal Stream,322,NA,37.3264,-77.2078,0.41,21:05:00,"Bibb fine sandy loam, 0 to 2 percent slopes, frequently flooded (4A)",No,"Light Chocolate, Dark Chocolate",water ~45cm deep,37.3267,-77.2078,0.52,21:18:00,"Bibb fine sandy loam, 0 to 2 percent slopes, frequently flooded (4A)",Organic,wetland is tidal forested swamp,NA,NA,NA,NA,NA,NA,NA,37.3267,-77.2072,1.21,21:30:00,"Nevarc-Remlik complex, 15 to 25 percent slopes (35E)","Organic, Mineral",5,looks like thin organic horizon (~1cm) over mineral soil; elevation estimated visually,NA
K039,43.7621,-86.4077,176.9,16:35:00,"Macrophytes, Algae",Lacestuary,250,NA,43.7621,-86.4077,176.9,16:48:00,Water (W),No,Dark Chocolate,NA,43.7618,-86.4075,176.85,17:02:00,"Kerston and Carlisle mucks, frequently flooded (97)",Organic,NA,43.7604,-86.4078,179.45,17:17:00,"Kerston and Carlisle mucks, frequently flooded (97)",Organic,"highly organic--roots, rhizomes",43.7568,-86.4049,182.1,17:58:00,"Chelsea fine sand, 0 to 6 percent slopes (92B)",Mineral,5,NA,NA
K040,37.4559,-75.8335,-0.57,20:30:00,Algae,Tidal Stream,390,High Tide - breezy,37.4559,-75.8335,-0.57,20:40:00,"Bojac fine sandy loam, 0 to 2 percent slopes (BoA)",No,Grey,taken just below high tide line - at high tide.,37.4566,-75.8332,-0.1,20:30:00,"Chincoteague silt loam, 0 to 1 percent slopes, very frequently flooded (ChA)",Organic,shortform spartina alterniflora marsh outcrop; High Marsh - Short Spartina alterniflora,37.4644,-75.8358,1.03,20:15:00,"Nimmo sandy loam, 0 to 2 percent slopes (NmA)",Organic,Loblolly Pine overstory - phragmites understory,37.4654,-75.8356,1.26,20:00:00,"Nimmo sandy loam, 0 to 2 percent slopes (NmA)",Organic,5,NA,NA
K041,37.4557,-75.8334,0,20:45:00,None,Tidal River,600,low tide,37.4557,-75.8334,0,20:50:00,"Bojac fine sandy loam, 0 to 2 percent slopes (BoA)",No,Grey,low tide,37.4557,-75.8334,0,20:50:00,"Bojac fine sandy loam, 0 to 2 percent slopes (BoA)",Organic,spartina alterniflora,37.4638,-75.8357,0.91,20:30:00,"Nimmo sandy loam, 0 to 2 percent slopes (NmA)",Organic,phragmites and loblolly pine,37.4656,-75.835,1.2,20:20:00,"Nimmo sandy loam, 0 to 2 percent slopes (NmA)",Organic,5,mostly loblolly pine,NA
K042,39.8816,-75.2665,-0.02,12:00:00,None,Tidal Stream,180,NA,38.8816,-75.2665,-0.12,12:00:00,Water (W),No,Grey,NA,39.8816,-75.265,0.44,12:15:00,Water (W),Organic,Sampled right at low tide.,39.8815,-75.2648,0.74,12:00:00,Marsh (Mh),Organic,All elevations are eyeballed relative to MSL,39.8815,-75.2646,2.09,12:15:00,Urban land (Ub),Organic,4,Under red oak,NA
K043,39.062,-75.394,-1.45,NA,None,Estuary,NA,Dissolved Oxygen saturation 115.1%,39.062,-75.397,-0.5,NA,Water (W),NA,NA,sand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K044,38.8837,-76.5583,0.01,4:50:00,None,Tidal Stream,330,Will send sonde data at a later date,38.8837,-76.5583,0.01,17:00:00,"Contees Wharf silty clay loam, 0 to 1 meter water depth (WCwA)",No,Grey,NA,38.8841,-76.5582,0.24,16:38:00,"Annapolis fine sandy loam, 5 to 10 percent slopes (AsC)",Organic,PHAU dominant. Will calculate soil moisture from soil samples taken today and send at a later date,38.8842,-76.5583,0.87,16:20:00,"Annapolis fine sandy loam, 5 to 10 percent slopes (AsC)",Organic,Will calculate soil moisture from soil samples taken today and send at a later date,38.8843,-76.5583,2.2,16:04:00,"Annapolis fine sandy loam, 5 to 10 percent slopes (AsC)",Organic,4,Will calculate soil moisture from soil samples taken today and send at a later date,NA
K045,39.9886,-74.8467,-0.4,14:35:00,Macrophytes,Tidal River,80,Water had a visible amount of sediment in it.  Both filters only allowed 80ml through before clogging. Water color description: red/brown,39.9887,-74.8466,-0.06,14:50:00,Water (WATER),No,"Black, Dark Chocolate",Was taken out of the water but would be submerged soon due to tide.,39.9889,-74.8465,1.06,15:10:00,"Mannington-Nanticoke complex, 0 to 1 percent slopes, very frequently flooded (MamnAv)",Organic,"Marsh are was very soup-y hard to get a core from this location, did my best.",39.9905,-74.8443,5.8,16:00:00,"Tinton sand, thick surface, 0 to 5 percent slopes (ThftB)",Organic,Edge of forest where it meets the marsh.,39.991,-74.8434,3.34,16:13:00,"Pits, sand and gravel (PHG)",Organic,4,"Unsure of soil type, Soil Web classified as PGH Pits, sand and gravel.",inconsistent
K046,39.0892,-75.4365,0.54,14:46:00,NA,Tidal Stream,232,small tributary creek within the wetland,39.0892,-75.4365,0.54,15:00:00,"Transquaking and Mispillion soils, very frequently flooded, tidal (TP)",Yes,"Black, Grey",NA,39.089,-75.4366,0.87,15:30:00,"Transquaking and Mispillion soils, very frequently flooded, tidal (TP)",Organic,Soil moisture not taken but soil was saturated,NA,NA,NA,NA,NA,NA,NA,29.0887,-75.4351,NA,15:20:00,"Carmichael loam, 0 to 2 percent slopes (CaA)",NA,4,NA,NA
K047,43.4162,-86.3489,177.01,19:00:00,"Macrophytes, Algae",Lacestuary,200,filter clogged after 4 pulls.  Could not load water color app.,43.4162,-86.3489,177.01,19:10:00,Marsh (Ma),No,Dark Chocolate,"sediment was highly organic--roots, rhizomes, etc.",43.4169,-86.35,177.11,19:15:00,Marsh (Ma),Organic,highly organic--mostly roots and rhizomes with very little mineral content.,43.4166,-86.3508,177.03,19:25:00,Kerston muck (Ku),Organic,I suspect this area was manipulated 120-140 years ago.  This location may have been open water in the past--hard to tell.,43.4161,-86.3521,177.53,19:30:00,Kerston muck (Ku),Mineral,6,NA,NA
K048,39.8803,-75.2667,0.78,13:00:00,NA,Tidal Stream,100,NA,39.8803,-75.2667,0.78,13:15:00,Water (W),Yes,Dark Chocolate,phone did not record GPS so taken from google earth --> side is along a transect and in Darby Creek @ edge,39.8802,-75.2669,0.28,13:35:00,Water (W),Organic,MSL used for elevation,39.8801,-75.2666,0.92,13:45:00,Tidal marsh (Tm),Organic,MSL used for elevation,39.88,-75.2665,2.77,13:55:00,Tidal marsh (Tm),Organic,4,MSL used for elevation,NA
