kit_id,collection_date,site_name,state,region,samples_collected,air_temperature_c,barometric_pressure_inhg,weather_conditions,kit_notes
037,10/12/2021,Cumberland Marsh,VA,Chesapeake Bay,"Water, Sediment, Soil - Wetland",20.5556,30.04,"mostly cloudy, occasional light mist/drizzle","arrived ~low tide, water was ~50.75cm higher than expected"
038,10/12/2021,Harris Creek,VA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Upland",21.11,30.02,partly-mostly cloudy,NA
039,10/10/2021,Pentwater River,MI,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",22.2,29.7,"Cloudy, windy",NA
040,11/8/2021,Brownsville Nature Preserve,VA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",15,30.15,Sunny,Tides have been very high for the last several weeks
042,10/20/2021,Heinz Wildlife Refuge- Wildrice,PA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",15,30.03,Sunny,NA
043,11/8/2021,Bowers Beach,DE,Chesapeake Bay,"Water, Sediment",15.5556,30.11,"Sunny, windy",NA
044,10/18/2021,"Canoe Shed, Smithsonian Environmental Research Center",MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",17,29.9,"Sunny, Breezy",Low tide ~1030am
045,11/8/2021,Rancocas,NJ,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",15,30.15,Sunny,"Full sun, slight breeze. Had difficulty getting the Eye on Water photo because of how sunny it was.  We did our best"
046,10/12/2021,St. Jones Reserve,DE,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Upland",19.9,30.09105,"overcast, RH 92%, wind speed 2.5 m/s",total PAR 410 mmol/m2/15 min
047,10/10/2021,White River,MI,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",22.2,29.7,"light rain, windy",NA
048,10/20/2021,"Spadderclock Reef, John Heinz Natural Wildlife Refuge at Tinacum",PA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",15.5556,30.03,mostly sunny,NA
049,10/19/2021,Saugatuch Harbor Natural Area,MI,Great Lakes,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",19.4444,30.08,clear and sunny,NA
050,10/12/2021,Kimages Creek,VA,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",21.11,30.02,"mostly cloudy, pleasant, light breeze",NA
051,10/15/2021,Bar Neck Farm,MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",N/A,N/A,N/A,NA
052,10/15/2021,Almodington Farm,MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil-Upland",N/A,N/A,N/A,NA
053,10/11/2021,Patuxent Wetland Park,MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",19.44,NA,Overcast,"near high tide, collecting soil samples first"
054,10/20/2021,Delaware Forest,DE,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",22.2222,30.06,clear/sunny,unable to take water photos- couldn't bring phone in waders
055,10/18/2021,Mantua Creek,NJ,Chesapeake Bay,Upland soil,15,29.866142,Sunny,NA
056,10/19/2021,"Jake's Landing, Partnership for the Delaware Estuary",NJ,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",17,30.09,Clear,NA
057,11/21/2021,Silver Lake,DE,Chesapeake Bay,Water,17,30.20,NA,NA
058,10/19/2021,"Owl's Nest, Partnership for the Delaware Estuary",NJ,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",9,30.09105,clear,NA
059,10/21/2021,Blackwater National Wildlife Refuge,MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",20.5556,N/A,sunny and clear,NA
060,11/6/2021,Woodland Beach,DE,Chesapeake Bay,"Water, Sediment, Soil - Wetland",11,N/A,Sunny,NA
061,10/20/2021,Delaware Ag,DE,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",17.2222,30.06,Clear/sunny,NA
062,10/18/2021,"GCReW, Smithsonian Environmental Research Center",MD,Chesapeake Bay,"Water, Sediment, Soil - Wetland, Soil - Transition, Soil - Upland",12,30,"Clear, sunny, breezy",Low tide ~10:30am; will also be sending soil moisture calculations and sonde data at a later date
