"campaign","kit_id","transect_location","BulkDensity","GWC","LOI","pH","TCTN","SoilSedimentOxygenDrawdown","CDOM_SpectralIndices","Ions","NPOC_TDN","TSS","WaterQuality"
"EC1","K042","sediment",,"x","x",,,,,,,,
"EC1","K042","water",,,,,,,"x","x","x","x","x"
"EC1","K043","water",,,,,,,"x","x","x","x","x"
"EC1","K044","upland","x","x","x",,"x","x",,,,,
"EC1","K044","transition","x","x","x",,"x","x",,,,,
"EC1","K044","wetland","x","x","x","x","x","x",,,,,
"EC1","K044","sediment",,"x","x",,,"x",,,,,
"EC1","K044","water",,,,,,,"x","x","x","x","x"
"EC1","K045","upland","x","x","x",,"x",,,,,,
"EC1","K045","transition","x","x","x",,"x",,,,,,
"EC1","K045","wetland","x","x","x",,"x",,,,,,
"EC1","K045","sediment",,"x","x",,,,,,,,
"EC1","K045","water",,,,,,,"x","x","x","x","x"
"EC1","K046","upland",,,,"x","x",,,,,,
"EC1","K046","transition",,,,"x","x",,,,,,
"EC1","K046","water",,,,,,,"x","x","x","x",
"EC1","K047","upland","x","x","x","x","x",,,,,,
"EC1","K047","transition","x","x","x","x","x",,,,,,
"EC1","K047","wetland","x","x","x",,"x",,,,,,
"EC1","K047","sediment",,"x","x",,,,,,,,
"EC1","K047","water",,,,,,,,"x","x","x","x"
"EC1","K048","upland","x","x","x","x","x",,,,,,
"EC1","K048","transition","x","x","x","x","x",,,,,,
"EC1","K048","wetland","x","x","x","x","x",,,,,,
"EC1","K048","sediment",,"x","x",,,,,,,,
"EC1","K048","water",,,,,,,"x","x","x","x","x"
"EC1","K049","upland","x","x","x","x",,,,,,,
"EC1","K049","transition","x","x","x","x","x",,,,,,
"EC1","K049","wetland","x","x","x","x","x",,,,,,
"EC1","K049","sediment",,"x","x",,,,,,,,
"EC1","K049","water",,,,,,,"x","x","x","x","x"
"EC1","K050","upland",,,,"x","x","x",,,,,
"EC1","K050","transition","x","x","x","x","x","x",,,,,
"EC1","K050","wetland","x","x","x",,"x","x",,,,,
"EC1","K050","sediment",,"x","x",,,"x",,,,,
"EC1","K050","water",,,,,,,"x","x","x","x","x"
"EC1","K051","upland",,,,"x","x",,,,,,
"EC1","K051","transition",,,,,"x",,,,,,
"EC1","K051","wetland",,,,"x","x",,,,,,
"EC1","K051","water",,,,,,,"x","x","x","x","x"
"EC1","K052","upland","x","x","x","x","x","x",,,,,
"EC1","K052","transition","x","x","x","x","x","x",,,,,
"EC1","K052","sediment",,"x","x",,,"x",,,,,
"EC1","K052","water",,,,,,,"x","x","x","x","x"
"EC1","K053","upland","x","x","x","x","x",,,,,,
"EC1","K053","transition","x","x","x","x","x",,,,,,
"EC1","K053","wetland","x","x","x",,"x",,,,,,
"EC1","K053","sediment",,"x","x",,,,,,,,
"EC1","K053","water",,,,,,,,"x","x","x","x"
"EC1","K054","upland","x","x","x","x","x","x",,,,,
"EC1","K054","transition","x","x","x",,"x","x",,,,,
"EC1","K054","wetland","x","x","x",,"x","x",,,,,
"EC1","K054","sediment",,"x","x",,,"x",,,,,
"EC1","K054","water",,,,,,,"x","x","x","x","x"
"EC1","K055","upland",,,,"x","x",,,,,,
"EC1","K055","water",,,,,,,"x","x","x","x","x"
"EC1","K056","upland",,,,"x","x",,,,,,
"EC1","K056","transition",,,,"x","x",,,,,,
"EC1","K056","wetland",,,,,"x",,,,,,
"EC1","K056","water",,,,,,,"x","x","x","x","x"
"EC1","K057","water",,,,,,,,"x","x","x",
"EC1","K058","upland",,,,,"x",,,,,,
"EC1","K058","transition",,,,,"x",,,,,,
"EC1","K058","wetland",,,,"x","x",,,,,,
"EC1","K058","water",,,,,,,"x","x","x","x","x"
"EC1","K059","upland","x","x","x",,"x","x",,,,,
"EC1","K059","transition","x","x","x",,"x","x",,,,,
"EC1","K059","wetland","x","x","x",,"x","x",,,,,
"EC1","K059","sediment",,"x","x",,,"x",,,,,
"EC1","K059","water",,,,,,,"x","x","x","x","x"
"EC1","K060","water",,,,,,,"x","x","x","x","x"
"EC1","K061","upland",,,,"x","x",,,,,,
"EC1","K061","transition","x","x","x","x","x",,,,,,
"EC1","K061","wetland",,,,"x","x",,,,,,
"EC1","K061","sediment",,"x","x",,,,,,,,
"EC1","K061","water",,,,,,,"x","x","x","x","x"
"EC1","K062","upland","x","x","x","x","x","x",,,,,
"EC1","K062","transition","x","x","x","x","x","x",,,,,
"EC1","K062","wetland","x","x","x","x","x","x",,,,,
"EC1","K062","sediment",,"x","x",,,"x",,,,,
"EC1","K062","water",,,,,,,"x","x","x","x","x"
